dataset,method,train_time,pred_time
ToeSegmentation1,PAA,3.3736228942871095e-06,5.061166328296327e-07
ToeSegmentation1,DFT,8.559226989746093e-06,8.425168823777584e-06
ToeSegmentation1,PCA+Allocation,0.0001118302345275879,1.3583584835654812e-06
ToeSegmentation1,PCA+Allocation_randomized,0.00011236071586608886,1.7107578746059484e-06
CinCECGTorso,PAA,5.584955215454102e-06,6.121137867803159e-07
CinCECGTorso,DFT,2.8699636459350586e-05,3.046332925990008e-05
CinCECGTorso,PCA+Allocation,0.0006704926490783691,5.5986901988153875e-06
CinCECGTorso,PCA+Allocation_randomized,0.00019713640213012696,4.424219546110734e-06
PickupGestureWiimoteZ,PAA,2.6941299438476564e-06,2.0074844360351562e-06
PickupGestureWiimoteZ,DFT,3.70025634765625e-06,3.223419189453125e-06
PickupGestureWiimoteZ,PCA+Allocation,0.00022819995880126953,3.31878662109375e-06
PickupGestureWiimoteZ,PCA+Allocation_randomized,0.00020856380462646484,3.1185150146484375e-06
ShakeGestureWiimoteZ,PAA,2.2649765014648438e-06,1.8167495727539063e-06
ShakeGestureWiimoteZ,DFT,2.6369094848632814e-06,2.4318695068359373e-06
ShakeGestureWiimoteZ,PCA+Allocation,0.00021879673004150392,2.7799606323242188e-06
ShakeGestureWiimoteZ,PCA+Allocation_randomized,0.00021605968475341798,2.8324127197265627e-06
GunPoint,PAA,2.117156982421875e-06,5.944569905598958e-07
GunPoint,DFT,1.1205673217773438e-06,9.918212890625e-07
GunPoint,PCA+Allocation,6.307125091552735e-05,1.0506312052408853e-06
GunPoint,PCA+Allocation_randomized,6.50501251220703e-05,8.789698282877604e-07
Mallat,PAA,4.040111194957386e-06,7.490105212116039e-07
Mallat,DFT,7.165562022816051e-06,5.388768242874633e-06
Mallat,PCA+Allocation,0.0005851398814808239,3.7453576191656117e-06
Mallat,PCA+Allocation_randomized,0.0001710068095814098,2.8578711471069598e-06
Wine,PAA,2.513852035790159e-06,1.9470850626627603e-06
Wine,DFT,2.166681122361568e-06,1.4790782222041376e-06
Wine,PCA+Allocation,9.984719125848067e-05,3.1038566871925638e-06
Wine,PCA+Allocation_randomized,0.0001003282111987733,2.498979921694155e-06
Car,PAA,2.376238505045573e-06,1.903374989827474e-06
Car,DFT,2.26895014444987e-05,2.1775563557942707e-05
Car,PCA+Allocation,0.00020810365676879883,4.084904988606771e-06
Car,PCA+Allocation_randomized,0.00012502272923787435,3.3696492513020832e-06
Meat,PAA,2.2570292154947917e-06,1.8477439880371094e-06
Meat,DFT,2.5431315104166665e-06,2.3643175760904947e-06
Meat,PCA+Allocation,0.00022687911987304688,4.76837158203125e-06
Meat,PCA+Allocation_randomized,0.00026349623998006186,3.03188959757487e-06
Lightning2,PAA,2.5272369384765624e-06,1.9386166431864754e-06
Lightning2,DFT,7.812182108561198e-06,4.631574036645107e-06
Lightning2,PCA+Allocation,0.0003829320271809896,3.943677808417648e-06
Lightning2,PCA+Allocation_randomized,0.00018114646275838215,4.049207343429815e-06
InsectEPGRegularTrain,PAA,2.1880672823998237e-06,5.783326175796938e-07
InsectEPGRegularTrain,DFT,2.4061049184491558e-05,2.36618470954129e-05
InsectEPGRegularTrain,PCA+Allocation,0.0003638805881623299,3.653836537556476e-06
InsectEPGRegularTrain,PCA+Allocation_randomized,0.00017627977555797946,4.4590976822328376e-06
Herring,PAA,2.16066837310791e-06,1.7248094081878662e-06
Herring,DFT,5.580484867095947e-06,2.5480985641479492e-06
Herring,PCA+Allocation,0.0003198869526386261,3.2670795917510986e-06
Herring,PCA+Allocation_randomized,0.00016302242875099182,3.039836883544922e-06
ItalyPowerDemand,PAA,1.7329828063053872e-06,1.1167906231968233e-07
ItalyPowerDemand,DFT,4.092259193534282e-07,2.1826074005215926e-07
ItalyPowerDemand,PCA+Allocation,1.5675131954363924e-05,1.4550716003477283e-07
ItalyPowerDemand,PCA+Allocation_randomized,1.5237438144968516e-05,1.411048733458227e-07
Lightning7,PAA,1.9209725516183035e-06,1.3945853873474957e-06
Lightning7,DFT,3.283364432198661e-06,2.8806189968161386e-06
Lightning7,PCA+Allocation,0.00023312909262520926,2.828362869889769e-06
Lightning7,PCA+Allocation_randomized,0.00022518294198172433,2.7271166239699272e-06
DodgerLoopDay,PAA,1.7453462649614382e-06,1.3262033462524414e-06
DodgerLoopDay,DFT,1.3602085602589143e-06,1.3142824172973633e-06
DodgerLoopDay,PCA+Allocation,0.00020980223631247497,2.023577690124512e-06
DodgerLoopDay,PCA+Allocation_randomized,0.00021781371189997747,2.568960189819336e-06
ACSF1,PAA,1.5974044799804688e-06,1.3709068298339844e-06
ACSF1,DFT,1.5118122100830077e-05,1.415252685546875e-05
ACSF1,PCA+Allocation,0.001044628620147705,1.0218620300292969e-05
ACSF1,PCA+Allocation_randomized,0.00022154808044433594,7.5364112854003905e-06
ECG200,PAA,1.2445449829101562e-06,9.870529174804687e-07
ECG200,DFT,1.1539459228515625e-06,4.38690185546875e-07
ECG200,PCA+Allocation,6.04248046875e-05,1.2540817260742187e-06
ECG200,PCA+Allocation_randomized,5.7866573333740236e-05,1.4472007751464844e-06
Trace,PAA,1.3113021850585938e-06,1.068115234375e-06
Trace,DFT,2.2673606872558593e-06,1.544952392578125e-06
Trace,PCA+Allocation,0.00022951841354370116,1.6951560974121095e-06
Trace,PCA+Allocation_randomized,0.00022829771041870116,1.6832351684570312e-06
InlineSkate,PAA,2.09808349609375e-06,5.609338933771306e-07
InlineSkate,DFT,7.889509201049805e-05,8.011557839133522e-05
InlineSkate,PCA+Allocation,0.0013165712356567384,8.156949823552912e-06
InlineSkate,PCA+Allocation_randomized,0.00027132511138916015,7.832700555974787e-06
MixedShapesSmallTrain,PAA,2.7060508728027343e-06,5.638476499577159e-07
MixedShapesSmallTrain,DFT,4.334449768066406e-06,5.7009077563728255e-06
MixedShapesSmallTrain,PCA+Allocation,0.0009619951248168946,3.634383997966334e-06
MixedShapesSmallTrain,PCA+Allocation_randomized,0.0001588010787963867,3.8440940306358735e-06
PigAirwayPressure,PAA,2.1480596982515776e-06,1.106124657850999e-06
PigAirwayPressure,DFT,9.357929229736328e-06,1.309812068939209e-05
PigAirwayPressure,PCA+Allocation,0.0018707124086526723,1.0473223832937387e-05
PigAirwayPressure,PCA+Allocation_randomized,0.00027520381487332855,1.0473223832937387e-05
PigArtPressure,PAA,1.9302734961876504e-06,1.4190490429217998e-06
PigArtPressure,DFT,9.798086606539213e-06,1.0320773491492639e-05
PigArtPressure,PCA+Allocation,0.0017269620528587927,9.850813792302059e-06
PigArtPressure,PCA+Allocation_randomized,0.0003227110092456524,1.287231078514686e-05
PigCVP,PAA,1.9486133868877705e-06,9.995240431565505e-07
PigCVP,DFT,1.0345990841205303e-05,1.0799903136033277e-05
PigCVP,PCA+Allocation,0.0016179336951329159,1.0345990841205303e-05
PigCVP,PCA+Allocation_randomized,0.00026778991405780497,1.2428714678837703e-05
Plane,PAA,1.3510386149088542e-06,9.582156226748512e-07
Plane,DFT,9.059906005859375e-07,6.153469993954613e-07
Plane,PCA+Allocation,9.517896743047806e-05,1.3646625337146578e-06
Plane,PCA+Allocation_randomized,9.503591628301711e-05,1.2579418364025297e-06
Ham,PAA,1.340831091644567e-06,1.1966342017764137e-06
Ham,DFT,1.4064508840578411e-05,1.3244719732375372e-05
Ham,PCA+Allocation,0.00041568169900036735,2.1525791713169643e-06
Ham,PCA+Allocation_randomized,0.00038548128320536483,2.0708356584821427e-06
GesturePebbleZ1,PAA,9.753487326882102e-07,6.972357284191043e-07
GesturePebbleZ1,DFT,2.673178008108428e-06,2.5491381800451946e-06
GesturePebbleZ1,PCA+Allocation,0.00039029482639197147,4.193117452222248e-06
GesturePebbleZ1,PCA+Allocation_randomized,0.00041624632748690516,3.31013701682867e-06
GunPointAgeSpan,PAA,9.73101015444155e-07,4.1874149177647845e-07
GunPointAgeSpan,DFT,9.695688883463541e-07,1.290176488176177e-06
GunPointAgeSpan,PCA+Allocation,0.00015018427813494648,9.5367431640625e-07
GunPointAgeSpan,PCA+Allocation_randomized,0.00014067225986056858,7.295910316177561e-07
GunPointMaleVersusFemale,PAA,9.625046341507524e-07,3.546099119548556e-07
GunPointMaleVersusFemale,DFT,7.911964699074074e-07,6.843216811554342e-07
GunPointMaleVersusFemale,PCA+Allocation,0.0001411985467981409,9.506563597087619e-07
GunPointMaleVersusFemale,PCA+Allocation_randomized,0.00014097425672743056,9.861173509042475e-07
GunPointOldVersusYoung,PAA,9.168596828685088e-07,3.731439984033978e-07
GunPointOldVersusYoung,DFT,9.238719940185547e-07,6.509205651661707e-07
GunPointOldVersusYoung,PCA+Allocation,0.00014540377785177792,8.098662845672123e-07
GunPointOldVersusYoung,PCA+Allocation_randomized,0.0001315474510192871,6.214020744202629e-07
GesturePebbleZ2,PAA,8.867211537818386e-07,6.564055817036689e-07
GesturePebbleZ2,DFT,2.7140525922383347e-06,2.565263192864913e-06
GesturePebbleZ2,PCA+Allocation,0.00045090178920798106,4.508827306047271e-06
GesturePebbleZ2,PCA+Allocation_randomized,0.00045962039738485256,4.279462597038172e-06
SmoothSubspace,PAA,8.106231689453125e-07,6.516774495442708e-07
SmoothSubspace,DFT,2.0345052083333335e-07,1.414616902669271e-07
SmoothSubspace,PCA+Allocation,6.270408630371094e-06,6.930033365885417e-07
SmoothSubspace,PCA+Allocation_randomized,6.071726481119791e-06,6.421407063802083e-07
FreezerRegularTrain,PAA,9.473164876302083e-07,1.037329958196272e-07
FreezerRegularTrain,DFT,3.7097930908203126e-06,3.829922592430784e-06
FreezerRegularTrain,PCA+Allocation,0.00037622928619384765,1.3783940097741913e-06
FreezerRegularTrain,PCA+Allocation_randomized,0.0003391853968302409,1.4822106612356086e-06
Haptics,PAA,1.4043623401272682e-06,6.440397980925325e-07
Haptics,DFT,8.823025611139113e-06,7.953736689183619e-06
Haptics,PCA+Allocation,0.0009222722822620023,2.923723939177278e-06
Haptics,PCA+Allocation_randomized,0.00010386128579416583,3.0963451831371753e-06
Fish,PAA,9.223393031529018e-07,7.465907505580357e-07
Fish,DFT,1.6946792602539062e-05,1.667022705078125e-05
Fish,PCA+Allocation,0.0004269000462123326,3.6757332938058034e-06
Fish,PCA+Allocation_randomized,0.0004915196555001395,3.6948067801339284e-06
PowerCons,PAA,8.172459072536892e-07,5.841255187988282e-07
PowerCons,DFT,7.006857130262587e-07,5.841255187988282e-07
PowerCons,PCA+Allocation,0.00014525387022230361,1.0569890340169271e-06
PowerCons,PCA+Allocation_randomized,0.00013620456059773762,1.2066629197862413e-06
Worms,PAA,1.0287564103774604e-06,1.836132693600345e-06
Worms,DFT,7.448934059775337e-06,4.66928853617086e-06
Worms,PCA+Allocation,0.000848219539579107,4.297727114194399e-06
Worms,PCA+Allocation_randomized,8.313827093134927e-05,4.5609164547610595e-06
WormsTwoClass,PAA,1.0551010047533235e-06,1.8206509676846592e-06
WormsTwoClass,DFT,4.778909419781595e-06,4.898418079723012e-06
WormsTwoClass,PCA+Allocation,0.0006333200971065964,5.421700415673194e-06
WormsTwoClass,PCA+Allocation_randomized,7.883224698061442e-05,5.350484476461039e-06
OSULeaf,PAA,7.784366607666016e-07,5.990020499741736e-07
OSULeaf,DFT,5.742311477661133e-06,5.672785861433045e-06
OSULeaf,PCA+Allocation,0.00039957404136657714,2.745754462628325e-06
OSULeaf,PCA+Allocation_randomized,0.00045550942420959474,2.9230905958443634e-06
FacesUCR,PAA,6.973743438720703e-07,8.897083561594893e-08
FacesUCR,DFT,7.499456405639648e-06,7.334337001893578e-06
FacesUCR,PCA+Allocation,0.00012662053108215333,5.791826945979421e-07
FacesUCR,PCA+Allocation_randomized,0.00012621521949768066,7.608460216987424e-07
GestureMidAirD1,PAA,5.926077182476337e-07,7.335956280048077e-07
GestureMidAirD1,DFT,3.3745398888221153e-06,1.5460527860201322e-06
GestureMidAirD1,PCA+Allocation,0.0003407723628557645,1.7624634962815506e-06
GestureMidAirD1,PCA+Allocation_randomized,0.00032599041095146764,1.5625586876502403e-06
GestureMidAirD2,PAA,5.994851772601788e-07,7.519355187049279e-07
GestureMidAirD2,DFT,1.5096022532536433e-06,1.3571519118088943e-06
GestureMidAirD2,PCA+Allocation,0.00033534719393803523,1.617578359750601e-06
GestureMidAirD2,PCA+Allocation_randomized,0.00033013178752018855,1.5919025127704328e-06
GestureMidAirD3,PAA,6.120938521165115e-07,7.831133328951322e-07
GestureMidAirD3,DFT,1.5348196029663086e-06,1.3039662287785457e-06
GestureMidAirD3,PCA+Allocation,0.00032745874845064606,1.6505901630108174e-06
GestureMidAirD3,PCA+Allocation_randomized,0.0003316127336942233,1.6725980318509615e-06
Phoneme,PAA,1.3881754652362004e-06,4.0377745648476645e-07
Phoneme,DFT,4.750545893874124e-06,4.6267791136407654e-06
Phoneme,PCA+Allocation,0.000742892238581292,1.9590311412569843e-06
Phoneme,PCA+Allocation_randomized,6.95068145466742e-05,2.7272268689634428e-06
InsectWingbeatSound,PAA,6.253069097345525e-07,1.0488009211992977e-07
InsectWingbeatSound,DFT,9.471719915216619e-07,1.2014851425633285e-06
InsectWingbeatSound,PCA+Allocation,0.00025801875374533914,1.3527244028418955e-06
InsectWingbeatSound,PCA+Allocation_randomized,0.00025369579141790215,1.3992039844243213e-06
Computers,PAA,7.410049438476563e-07,6.437301635742188e-07
Computers,DFT,3.7069320678710938e-06,3.344535827636719e-06
Computers,PCA+Allocation,0.0007507600784301758,3.915786743164062e-06
Computers,PCA+Allocation_randomized,9.483909606933594e-05,4.90570068359375e-06
WordSynonyms,PAA,5.77740901418393e-07,2.541138460643613e-07
WordSynonyms,DFT,1.4823027764366807e-06,1.2085355561355064e-06
WordSynonyms,PCA+Allocation,0.00030344166559226506,1.5941906872214194e-06
WordSynonyms,PCA+Allocation_randomized,0.0002958140569679746,1.871847433729979e-06
SyntheticControl,PAA,4.3312708536783854e-07,3.457069396972656e-07
SyntheticControl,DFT,5.539258321126302e-07,2.5192896525065104e-07
SyntheticControl,PCA+Allocation,2.050956090291341e-05,1.1491775512695313e-06
SyntheticControl,PCA+Allocation_randomized,1.9310315450032554e-05,4.712740580240885e-07
SemgHandGenderCh2,PAA,9.7195307413737e-07,4.641215006510417e-07
SemgHandGenderCh2,DFT,9.373029073079427e-06,8.004506429036458e-06
SemgHandGenderCh2,PCA+Allocation,0.0009498453140258789,4.137754440307617e-06
SemgHandGenderCh2,PCA+Allocation_randomized,0.00011791626612345377,6.83903694152832e-06
AllGestureWiimoteX,PAA,5.022684733072916e-07,1.8017632620675222e-07
AllGestureWiimoteX,DFT,3.0740102132161457e-06,2.0272391183035716e-06
AllGestureWiimoteX,PCA+Allocation,0.0003986557324727376,2.009868621826172e-06
AllGestureWiimoteX,PCA+Allocation_randomized,0.00040470202763875327,1.9621849060058595e-06
AllGestureWiimoteY,PAA,4.212061564127604e-07,1.941408429827009e-07
AllGestureWiimoteY,DFT,2.094109853108724e-06,2.3712430681501114e-06
AllGestureWiimoteY,PCA+Allocation,0.0003971536954243978,2.7629307338169644e-06
AllGestureWiimoteY,PCA+Allocation_randomized,0.0004349573453267415,2.1386146545410158e-06
AllGestureWiimoteZ,PAA,4.188219706217448e-07,1.7983572823660716e-07
AllGestureWiimoteZ,DFT,2.7449925740559897e-06,1.819814954485212e-06
AllGestureWiimoteZ,PCA+Allocation,0.00038985490798950197,2.1583693368094307e-06
AllGestureWiimoteZ,PCA+Allocation_randomized,0.0003901211420694987,1.7840521676199777e-06
Yoga,PAA,6.588300069173177e-07,1.2373924255371094e-07
Yoga,DFT,5.394617716471354e-06,5.955378214518229e-06
Yoga,PCA+Allocation,0.0004314525922139486,1.8532276153564452e-06
Yoga,PCA+Allocation_randomized,0.0004354715347290039,2.316395441691081e-06
Earthquakes,PAA,6.612043203034016e-07,9.879791479316547e-07
Earthquakes,DFT,2.6026127501304106e-06,2.2932779874733025e-06
Earthquakes,PCA+Allocation,0.00046606389632136187,6.776919467843694e-06
Earthquakes,PCA+Allocation_randomized,7.567050294106051e-05,5.228056324471672e-06
EOGHorizontalSignal,PAA,6.302944204425285e-07,6.961559063821866e-07
EOGHorizontalSignal,DFT,6.256182549408127e-06,5.866282552645351e-06
EOGHorizontalSignal,PCA+Allocation,0.0010257794712129878,4.5279771583514975e-06
EOGHorizontalSignal,PCA+Allocation_randomized,6.622108965288868e-05,3.037531731537034e-06
EOGVerticalSignal,PAA,9.648707690159918e-07,8.575165469343491e-07
EOGVerticalSignal,DFT,7.297452642114123e-06,6.039498260666653e-06
EOGVerticalSignal,PCA+Allocation,0.0009349228927443699,3.2463126419657503e-06
EOGVerticalSignal,PCA+Allocation_randomized,6.200002701901599e-05,4.368592362377525e-06
LargeKitchenAppliances,PAA,5.060831705729166e-07,4.5013427734375e-07
LargeKitchenAppliances,DFT,3.1185150146484375e-06,2.841313680013021e-06
LargeKitchenAppliances,PCA+Allocation,0.0006175060272216796,2.1235148111979166e-06
LargeKitchenAppliances,PCA+Allocation_randomized,4.76067860921224e-05,3.197352091471354e-06
RefrigerationDevices,PAA,5.512237548828125e-07,4.781087239583333e-07
RefrigerationDevices,DFT,3.19671630859375e-06,2.834320068359375e-06
RefrigerationDevices,PCA+Allocation,0.0006201922098795573,2.1203358968098957e-06
RefrigerationDevices,PCA+Allocation_randomized,4.868062337239583e-05,3.3245086669921877e-06
ScreenType,PAA,5.620320638020834e-07,4.730224609375e-07
ScreenType,DFT,3.2806396484375e-06,2.9296875e-06
ScreenType,PCA+Allocation,0.0006749795277913412,2.1794637044270834e-06
ScreenType,PCA+Allocation_randomized,6.570879618326823e-05,3.363927205403646e-06
SmallKitchenAppliances,PAA,5.035400390625e-07,4.425048828125e-07
SmallKitchenAppliances,DFT,3.5915374755859375e-06,2.890904744466146e-06
SmallKitchenAppliances,PCA+Allocation,0.000667239507039388,2.216339111328125e-06
SmallKitchenAppliances,PCA+Allocation_randomized,4.486846923828125e-05,1.8755594889322916e-06
MedicalImages,PAA,3.729592470985072e-07,1.606188322368421e-07
MedicalImages,DFT,8.084955490793143e-07,5.985561170076069e-07
MedicalImages,PCA+Allocation,2.6659702691506213e-05,4.169188047710218e-07
MedicalImages,PCA+Allocation_randomized,2.793564884055631e-05,3.993511199951172e-07
CricketX,PAA,3.936963203625801e-07,3.435672857822516e-07
CricketX,DFT,1.7716334416316106e-06,1.15052247658754e-06
CricketX,PCA+Allocation,0.000299380987118452,2.378072494115585e-06
CricketX,PCA+Allocation_randomized,0.00030014148125281703,1.7685767931815906e-06
CricketY,PAA,4.395460471128806e-07,3.612958467923678e-07
CricketY,DFT,1.3479819664588342e-06,1.228161347218049e-06
CricketY,PCA+Allocation,0.0003075367365127955,2.0632377037635215e-06
CricketY,PCA+Allocation_randomized,0.00031440502557999046,1.7331196711613582e-06
CricketZ,PAA,4.248741345527845e-07,3.509032420622997e-07
CricketZ,DFT,1.2947962834284856e-06,1.2116554455879406e-06
CricketZ,PCA+Allocation,0.0003123020514463767,2.315716865735176e-06
CricketZ,PCA+Allocation_randomized,0.00031681427588829626,2.2270740606845955e-06
Adiac,PAA,4.010322766426282e-07,3.432983632587716e-07
Adiac,DFT,9.756821852463942e-07,9.164785790016584e-07
Adiac,PCA+Allocation,0.00014900549864157653,1.3902669062699808e-06
Adiac,PCA+Allocation_randomized,0.0001386569096491887,1.2603867084473904e-06
MiddlePhalanxTW,PAA,3.519512358165923e-07,6.7964776769861e-07
MiddlePhalanxTW,DFT,3.2984224477208645e-07,3.514351782860694e-07
MiddlePhalanxTW,PCA+Allocation,2.6083829110128837e-05,8.979401031097809e-07
