method,dataset,acc
sfa,Chinatown,0.8338192419825073
sfa,ChlorineConcentration,0.4653645833333333
sfa,CinCECGTorso,0.6072463768115942
sfa,Coffee,0.7857142857142857
sfa,Computers,0.508
sfa,CricketX,0.3846153846153846
sfa,CricketY,0.4487179487179487
sfa,CricketZ,0.4307692307692308
sfa,Crop,0.4457142857142857
sfa,DiatomSizeReduction,0.8823529411764706
sfa,DistalPhalanxOutlineAgeGroup,0.6187050359712231
sfa,DistalPhalanxOutlineCorrect,0.6340579710144928
sfa,DistalPhalanxTW,0.539568345323741
sfa,DodgerLoopDay,0.3875
sfa,DodgerLoopGame,0.8623188405797102
sfa,DodgerLoopWeekend,0.9927536231884058
sfa,Earthquakes,0.697841726618705
sfa,ECG200,0.85
sfa,ECG5000,0.9115555555555556
sfa,ECGFiveDays,0.8118466898954704
sfa,ElectricDevices,0.4920243807547659
sfa,EOGHorizontalSignal,0.2651933701657458
sfa,EOGVerticalSignal,0.2486187845303867
sfa,EthanolLevel,0.244
sfa,FaceAll,0.5798816568047337
sfa,FaceFour,0.6022727272727273
sfa,FacesUCR,0.5985365853658536
sfa,FiftyWords,0.4857142857142857
sfa,Fish,0.56
sfa,FordA,0.5651515151515152
sfa,FordB,0.519753086419753
sfa,FreezerRegularTrain,0.7003508771929825
sfa,FreezerSmallTrain,0.6778947368421052
sfa,Fungi,0.6989247311827957
sfa,GestureMidAirD1,0.5
sfa,GestureMidAirD2,0.4076923076923077
sfa,GestureMidAirD3,0.2461538461538461
sfa,GesturePebbleZ1,0.7790697674418605
sfa,GesturePebbleZ2,0.8354430379746836
sfa,GunPoint,0.8
sfa,GunPointAgeSpan,0.8575949367088608
sfa,GunPointMaleVersusFemale,0.9525316455696202
sfa,GunPointOldVersusYoung,0.8761904761904762
sfa,Ham,0.5714285714285714
sfa,HandOutlines,0.745945945945946
sfa,Haptics,0.3571428571428571
sfa,Herring,0.5
sfa,HouseTwenty,0.7226890756302521
sfa,InlineSkate,0.2781818181818182
sfa,InsectEPGRegularTrain,0.7068273092369478
sfa,InsectEPGSmallTrain,0.606425702811245
sfa,InsectWingbeatSound,0.4484848484848485
sfa,ItalyPowerDemand,0.9407191448007776
sfa,LargeKitchenAppliances,0.4666666666666667
sfa,Lightning2,0.7704918032786885
sfa,Lightning7,0.6301369863013698
sfa,Mallat,0.8051172707889126
sfa,Meat,0.85
sfa,MedicalImages,0.5197368421052632
sfa,MelbournePedestrian,0.7129971299712997
sfa,MiddlePhalanxOutlineAgeGroup,0.4675324675324675
sfa,MiddlePhalanxOutlineCorrect,0.6013745704467354
sfa,MiddlePhalanxTW,0.4545454545454545
sfa,MixedShapesRegularTrain,0.8148453608247422
sfa,MixedShapesSmallTrain,0.7628865979381443
sfa,MoteStrain,0.8027156549520766
sfa,NonInvasiveFetalECGThorax1,0.5267175572519084
sfa,NonInvasiveFetalECGThorax2,0.5989821882951654
sfa,OliveOil,0.8333333333333334
sfa,OSULeaf,0.3553719008264462
sfa,PhalangesOutlinesCorrect,0.6060606060606061
sfa,Phoneme,0.070675105485232
sfa,PickupGestureWiimoteZ,0.64
sfa,PigAirwayPressure,0.0528846153846153
sfa,PigArtPressure,0.0384615384615384
sfa,PigCVP,0.0384615384615384
sfa,PLAID,0.4618249534450652
sfa,Plane,0.923809523809524
sfa,PowerCons,0.8944444444444445
sfa,ProximalPhalanxOutlineAgeGroup,0.6780487804878049
sfa,ProximalPhalanxOutlineCorrect,0.6323024054982818
sfa,ProximalPhalanxTW,0.6195121951219512
sfa,RefrigerationDevices,0.384
sfa,Rock,0.52
sfa,ScreenType,0.4026666666666667
sfa,SemgHandGenderCh2,0.7716666666666666
sfa,SemgHandMovementCh2,0.4755555555555555
sfa,SemgHandSubjectCh2,0.6466666666666666
sfa,ShakeGestureWiimoteZ,0.64
sfa,ShapeletSim,0.4777777777777778
sfa,ShapesAll,0.5566666666666666
sfa,SmallKitchenAppliances,0.4853333333333333
sfa,SmoothSubspace,0.6333333333333333
sfa,SonyAIBORobotSurface1,0.7437603993344426
sfa,SonyAIBORobotSurface2,0.8216159496327388
sfa,StarLightCurves,0.8608547838756678
sfa,Strawberry,0.845945945945946
sfa,SwedishLeaf,0.5632
sfa,Symbols,0.8110552763819096
sfa,SyntheticControl,0.78
sfa,ToeSegmentation1,0.5789473684210527
sfa,ToeSegmentation2,0.7153846153846154
sfa,Trace,0.54
sfa,TwoLeadECG,0.630377524143986
sfa,TwoPatterns,0.83275
sfa,UMD,0.7777777777777778
sfa,UWaveGestureLibraryAll,0.8160245672808487
sfa,UWaveGestureLibraryX,0.6214405360134003
sfa,UWaveGestureLibraryY,0.5678391959798995
sfa,UWaveGestureLibraryZ,0.5759352317141262
sfa,Wafer,0.9892926670992862
sfa,Wine,0.5370370370370371
sfa,WordSynonyms,0.4608150470219436
sfa,Worms,0.5064935064935064
sfa,WormsTwoClass,0.6103896103896104
sfa,Yoga,0.718
spartan_pca,ACSF1,0.57
spartan_pca,Adiac,0.4961636828644501
spartan_pca,AllGestureWiimoteX,0.29
spartan_pca,AllGestureWiimoteY,0.3571428571428571
spartan_pca,AllGestureWiimoteZ,0.2885714285714286
spartan_pca,ArrowHead,0.8171428571428572
spartan_pca,Beef,0.8
spartan_pca,BeetleFly,0.55
spartan_pca,BirdChicken,0.6
spartan_pca,BME,0.8666666666666667
spartan_pca,Car,0.6166666666666667
spartan_pca,CBF,0.8077777777777778
spartan_pca,Chinatown,0.7026239067055393
spartan_pca,ChlorineConcentration,0.5161458333333333
spartan_pca,CinCECGTorso,0.8471014492753624
spartan_pca,Coffee,0.9285714285714286
spartan_pca,Computers,0.504
spartan_pca,CricketX,0.4256410256410256
spartan_pca,CricketY,0.4692307692307692
spartan_pca,CricketZ,0.4564102564102564
spartan_pca,Crop,0.5028571428571429
spartan_pca,DiatomSizeReduction,0.7647058823529411
spartan_pca,DistalPhalanxOutlineAgeGroup,0.5899280575539568
spartan_pca,DistalPhalanxOutlineCorrect,0.6739130434782609
spartan_pca,DistalPhalanxTW,0.5107913669064749
spartan_pca,DodgerLoopDay,0.475
spartan_pca,DodgerLoopGame,0.7463768115942029
spartan_pca,DodgerLoopWeekend,0.9130434782608696
spartan_pca,Earthquakes,0.6330935251798561
spartan_pca,ECG200,0.87
spartan_pca,ECG5000,0.9015555555555556
spartan_pca,ECGFiveDays,0.8234610917537747
spartan_pca,ElectricDevices,0.4659577227337569
spartan_pca,EOGHorizontalSignal,0.3342541436464088
spartan_pca,EOGVerticalSignal,0.3480662983425414
spartan_pca,EthanolLevel,0.24
spartan_pca,FaceAll,0.4911242603550296
spartan_pca,FaceFour,0.7386363636363636
spartan_pca,FacesUCR,0.5653658536585365
spartan_pca,FiftyWords,0.5010989010989011
spartan_pca,Fish,0.6857142857142857
spartan_pca,FordA,0.5984848484848485
spartan_pca,FordB,0.5296296296296297
spartan_pca,FreezerRegularTrain,0.6066666666666667
spartan_pca,FreezerSmallTrain,0.6726315789473685
spartan_pca,Fungi,0.7365591397849462
spartan_pca,GestureMidAirD1,0.3615384615384615
spartan_pca,GestureMidAirD2,0.4461538461538462
spartan_pca,GestureMidAirD3,0.2076923076923077
spartan_pca,GesturePebbleZ1,0.6395348837209303
spartan_pca,GesturePebbleZ2,0.6139240506329114
spartan_pca,GunPoint,0.7866666666666666
spartan_pca,GunPointAgeSpan,0.9177215189873418
spartan_pca,GunPointMaleVersusFemale,0.971518987341772
