dataset,method,tlb
UWaveGestureLibraryAll,SPARTAN,0.358487896888696
UWaveGestureLibraryX,SPARTAN,0.3871456837311917
UWaveGestureLibraryY,SPARTAN,0.3980680957856267
UWaveGestureLibraryZ,SPARTAN,0.3958063349660482
HandOutlines,SPARTAN,0.3205381850225547
TwoPatterns,SPARTAN,0.3344066889044984
Wafer,SPARTAN,0.393260788942808
StarLightCurves,SPARTAN,0.3887524631358761
MelbournePedestrian,SPARTAN,0.3652308615728681
PhalangesOutlinesCorrect,SPARTAN,0.3479568250421732
NonInvasiveFetalECGThorax1,SPARTAN,0.3560712816777064
NonInvasiveFetalECGThorax2,SPARTAN,0.3420813428811257
FordA,SPARTAN,0.2494837395218871
FordB,SPARTAN,0.2070334984834511
Crop,SPARTAN,0.4021851869410073
ElectricDevices,SPARTAN,0.151633956599424
DiatomSizeReduction,SFA,0.2778841504692495
InsectEPGSmallTrain,SFA,0.2572629580541118
Fungi,SFA,0.2156873838621038
BeetleFly,SFA,0.182017163905692
BirdChicken,SFA,0.3038837037115214
Rock,SFA,0.2646009989817555
DodgerLoopGame,SFA,0.1619625593305209
DodgerLoopWeekend,SFA,0.161962559330521
ShapeletSim,SFA,0.0393845316733762
Chinatown,SFA,0.2618523674379164
SonyAIBORobotSurface1,SFA,0.1810764536060535
MoteStrain,SFA,0.2124308455809139
ECGFiveDays,SFA,0.1088508141058111
TwoLeadECG,SFA,0.2016911118259686
FaceFour,SFA,0.0501933238517372
Symbols,SFA,0.2237453482024998
SonyAIBORobotSurface2,SFA,0.1445885320660757
Coffee,SFA,0.1838038274511439
FreezerSmallTrain,SFA,0.2967844996414668
Beef,SFA,0.2096867147397389
OliveOil,SFA,0.1643913421682497
BME,SFA,0.4218529282757282
CBF,SFA,0.2326566878268995
ToeSegmentation2,SFA,0.2339445240956553
UMD,SFA,0.4142758467989758
ArrowHead,SFA,0.2391682189351569
HouseTwenty,SFA,0.1918138629306264
ToeSegmentation1,SFA,0.2158187799909777
CinCECGTorso,SFA,0.1490569256295323
PickupGestureWiimoteZ,SFA,0.2549972454000224
ShakeGestureWiimoteZ,SFA,0.1817452033543274
GunPoint,SFA,0.2944854280498367
Mallat,SFA,0.1923812753570094
Wine,SFA,0.1841598020875679
Car,SFA,0.2382273640465703
Meat,SFA,0.2896216430407285
