method,metric,dataset,acc
SAX,hist_euclidean,SwedishLeaf,0.472
SAX,hist_euclidean,Symbols,0.7959798994974875
SAX,hist_euclidean,SyntheticControl,0.7333333333333333
SAX,hist_euclidean,ToeSegmentation1,0.6578947368421053
SAX,hist_euclidean,ToeSegmentation2,0.8076923076923077
SAX,hist_euclidean,Trace,0.7
SAX,hist_euclidean,TwoLeadECG,0.7945566286215979
SAX,hist_euclidean,TwoPatterns,0.50125
SAX,hist_euclidean,UMD,0.8402777777777778
SAX,hist_euclidean,UWaveGestureLibraryAll,0.4265773310999441
SAX,hist_euclidean,UWaveGestureLibraryX,0.3880513679508654
SAX,hist_euclidean,UWaveGestureLibraryY,0.411501954215522
SAX,hist_euclidean,UWaveGestureLibraryZ,0.4022892238972641
SAX,hist_euclidean,Wafer,0.9907527579493836
SAX,hist_euclidean,Wine,0.7962962962962963
SAX,hist_euclidean,WordSynonyms,0.2021943573667711
SAX,hist_euclidean,Worms,0.4805194805194805
SAX,hist_euclidean,WormsTwoClass,0.6363636363636364
SAX,hist_euclidean,Yoga,0.5646666666666667
SAX,boss,ACSF1,0.08
SAX,boss,Adiac,0.227621483375959
SAX,boss,AllGestureWiimoteX,0.29
SAX,boss,AllGestureWiimoteY,0.2785714285714286
SAX,boss,AllGestureWiimoteZ,0.3185714285714285
SAX,boss,ArrowHead,0.5485714285714286
SAX,boss,Beef,0.4666666666666667
SAX,boss,BeetleFly,0.65
SAX,boss,BirdChicken,0.8
SAX,boss,BME,0.7466666666666667
SAX,boss,Car,0.5
SAX,boss,CBF,0.6511111111111111
SAX,boss,Chinatown,0.673469387755102
SAX,boss,ChlorineConcentration,0.6401041666666667
SAX,boss,CinCECGTorso,0.1666666666666666
SAX,boss,Coffee,0.9285714285714286
SAX,boss,Computers,0.616
SAX,boss,CricketX,0.1871794871794871
SAX,boss,CricketY,0.2205128205128205
SAX,boss,CricketZ,0.1743589743589743
SAX,boss,Crop,0.4701785714285714
SAX,boss,DiatomSizeReduction,0.7156862745098039
SAX,boss,DistalPhalanxOutlineAgeGroup,0.6115107913669064
SAX,boss,DistalPhalanxOutlineCorrect,0.6521739130434783
SAX,boss,DistalPhalanxTW,0.5035971223021583
SAX,boss,DodgerLoopDay,0.1625
SAX,boss,DodgerLoopGame,0.6014492753623188
SAX,boss,DodgerLoopWeekend,0.7101449275362319
SAX,boss,Earthquakes,0.7266187050359713
SAX,boss,ECG200,0.71
SAX,boss,ECG5000,0.8124444444444444
SAX,boss,ECGFiveDays,0.6898954703832753
SAX,boss,ElectricDevices,0.6032939955907146
SAX,boss,EOGHorizontalSignal,0.0580110497237569
SAX,boss,EOGVerticalSignal,0.0911602209944751
SAX,boss,EthanolLevel,0.28
SAX,boss,FaceAll,0.4343195266272189
SAX,boss,FaceFour,0.5113636363636364
SAX,boss,FacesUCR,0.4068292682926829
SAX,boss,FiftyWords,0.2043956043956044
SAX,boss,Fish,0.4057142857142857
SAX,boss,FordA,0.7878787878787878
SAX,boss,FordB,0.6259259259259259
SAX,boss,FreezerRegularTrain,0.6652631578947369
SAX,boss,FreezerSmallTrain,0.6828070175438596
SAX,boss,Fungi,0.1774193548387097
SAX,boss,GestureMidAirD1,0.0923076923076923
SAX,boss,GestureMidAirD2,0.0692307692307692
SAX,boss,GestureMidAirD3,0.0923076923076923
SAX,boss,GesturePebbleZ1,0.2848837209302325
SAX,boss,GesturePebbleZ2,0.2658227848101265
SAX,boss,GunPoint,0.74
SAX,boss,GunPointAgeSpan,0.8006329113924051
SAX,boss,GunPointMaleVersusFemale,0.7943037974683544
SAX,boss,GunPointOldVersusYoung,0.8126984126984127
SAX,boss,Ham,0.580952380952381
SAX,boss,HandOutlines,0.354054054054054
SAX,boss,Haptics,0.1558441558441558
SAX,boss,Herring,0.609375
SAX,boss,HouseTwenty,0.9159663865546218
SAX,boss,InlineSkate,0.18
SAX,boss,InsectEPGRegularTrain,0.8835341365461847
SAX,boss,InsectEPGSmallTrain,0.8313253012048193
SAX,boss,InsectWingbeatSound,0.2161616161616161
SAX,boss,ItalyPowerDemand,0.8872691933916423
SAX,boss,LargeKitchenAppliances,0.3253333333333333
SAX,boss,Lightning2,0.5245901639344263
SAX,boss,Lightning7,0.3424657534246575
SAX,boss,Mallat,0.5053304904051172
SAX,boss,Meat,0.8
SAX,boss,MedicalImages,0.475
SAX,boss,MelbournePedestrian,0.6740467404674046
SAX,boss,MiddlePhalanxOutlineAgeGroup,0.4415584415584415
SAX,boss,MiddlePhalanxOutlineCorrect,0.6048109965635738
SAX,boss,MiddlePhalanxTW,0.512987012987013
SAX,boss,MixedShapesRegularTrain,0.0832989690721649
SAX,boss,MixedShapesSmallTrain,0.1550515463917526
SAX,boss,MoteStrain,0.8386581469648562
SAX,boss,NonInvasiveFetalECGThorax1,0.0208651399491094
SAX,boss,NonInvasiveFetalECGThorax2,0.0254452926208651
SAX,boss,OliveOil,0.7666666666666667
SAX,boss,OSULeaf,0.5165289256198347
SAX,boss,PhalangesOutlinesCorrect,0.6456876456876457
SAX,boss,Phoneme,0.0385021097046413
SAX,boss,PickupGestureWiimoteZ,0.32
SAX,boss,PigAirwayPressure,0.0384615384615384
SAX,boss,PigArtPressure,0.0048076923076923
SAX,boss,PigCVP,0.0048076923076923
SAX,boss,PLAID,0.1452513966480447
SAX,boss,Plane,0.9428571428571428
SAX,boss,PowerCons,0.7277777777777777
SAX,boss,ProximalPhalanxOutlineAgeGroup,0.751219512195122
SAX,boss,ProximalPhalanxOutlineCorrect,0.738831615120275
SAX,boss,ProximalPhalanxTW,0.6634146341463415
SAX,boss,RefrigerationDevices,0.4133333333333333
SAX,boss,Rock,0.38
SAX,boss,ScreenType,0.3306666666666666
SAX,boss,SemgHandGenderCh2,0.555
